172705;3.865000;108.875381;964.148987;960.283997
31409;2.242000;107.314972;942.931030;940.689026
200110;9.865000;101.584351;877.786011;867.921021
32430;3.149000;66.825867;826.698975;823.549988
30644;90.222000;496.277985;902.333984;812.112000
59689;1.918000;73.772659;806.265991;804.347961
286095;56.715000;455.787506;854.859985;798.144958
12167;32.462002;431.335480;830.208984;797.747009
180463;2.923000;67.124397;800.070984;797.148010
48290;47.926998;445.732513;843.538025;795.611023
235046;75.334999;472.320007;869.304993;793.969971
21460;3.445000;114.975433;793.896973;790.451965
262737;4.974000;79.518661;795.260010;790.286011
158585;3.168000;81.895622;786.901978;783.733948
986;33.053001;422.075500;811.098022;778.045044
12157;2.229000;73.979462;777.966003;775.737000
115415;21.164000;407.283997;793.403992;772.239990
274502;1.991000;60.207348;770.591003;768.599976
164469;35.820000;418.276001;800.731995;764.911987
299333;1.844000;52.621162;765.979980;764.135986
167454;1.594000;53.262112;765.392029;763.798035
294090;1.527000;67.178604;764.793030;763.266052
224254;1.717000;41.404236;764.737000;763.020020
25792;22.589001;104.469788;782.940002;760.351013
105810;3.102000;70.449234;763.385010;760.283020
125473;72.009003;451.652527;831.296021;759.286987
192568;210.725998;590.011963;969.297974;758.571960
290146;81.182999;458.187988;835.192993;754.010010
245861;90.010002;466.726501;843.442993;753.432983
41318;120.329002;496.107483;871.885986;751.557007
75007;98.821999;474.419006;850.015991;751.193970
297439;23.700001;398.618500;773.536987;749.836975
132093;12.698000;142.448425;759.916016;747.218018
169512;3.651000;111.817001;748.312988;744.661987
142350;64.982002;435.844482;806.706970;741.724976
39164;2.439000;60.368721;739.393982;736.954956
209123;2.205000;72.141991;739.140991;736.935974
172652;106.244003;470.161499;834.078979;727.834961
181963;2.651000;47.952415;728.742004;726.091003
18605;4.004000;71.671478;729.921021;725.916992
74144;97.219002;458.804993;820.390991;723.171997
110567;73.783997;434.691986;795.599976;721.815979
127819;92.439003;453.042023;813.645020;721.205994
113502;3.010000;78.969521;723.513000;720.502991
233969;3.794000;66.190308;723.768005;719.973999
226944;2.379000;51.934814;722.146973;719.767944
73697;3.826000;65.228233;723.130005;719.304016
147623;59.084999;418.018524;776.952026;717.867004
165538;91.411003;450.187012;808.963013;717.552002
95796;11.419000;116.052490;728.731995;717.312988
